t(us) chan[0] chan[1] chan[2] chan[3]
0.000000 -298506 -298855 2432910 812142
250.000000 -298472 -298867 2425983 797185
500.000000 -298482 -298837 2429164 781346
750.000000 -298514 -298814 2426645 765694
1000.000000 -298522 -298905 2423918 762568
1250.000000 -298585 -298865 2428436 760361
1500.000000 -298576 -298875 2429167 755022
1750.000000 -298537 -298938 2422252 757194
2000.000000 -298497 -298874 2421876 756535
2250.000000 -298599 -298852 2427398 756810
2500.000000 -298547 -298900 2426840 756349
2750.000000 -298504 -298946 2418617 760475
3000.000000 -298524 -298866 2415577 770354
3250.000000 -298520 -298894 2422601 772152
3500.000000 -298433 -298906 2430864 775329
3750.000000 -298479 -298883 2437798 781834
4000.000000 -298550 -298819 2434958 787673
4250.000000 -298554 -298927 2440707 794855
4500.000000 -298611 -298900 2442770 800891
4750.000000 -298587 -298867 2435425 807427
5000.000000 -298492 -298911 2436285 810780
5250.000000 -298542 -298851 2440014 814135
5500.000000 -298534 -298809 2441807 816401
5750.000000 -298548 -298845 2442033 806578
6000.000000 -298494 -298870 2439400 797041
6250.000000 -298482 -298837 2436878 787896
6500.000000 -298488 -298843 2433254 787898
6750.000000 -298519 -298893 2428236 802601
7000.000000 -298560 -298845 2432367 815539
7250.000000 -298508 -298862 2443373 822979
7500.000000 -298463 -298827 2452707 827585
7750.000000 -298476 -298777 2450641 841590
8000.000000 -298512 -298853 2448280 860759
8250.000000 -298499 -298901 2456942 884941
8500.000000 -298509 -298899 2464518 908018
8750.000000 -298426 -298845 2466849 921731
9000.000000 -298445 -298810 2471780 932373
9250.000000 -298460 -298800 2481903 951981
9500.000000 -298461 -298818 2494542 975797
9750.000000 -298470 -298835 2503411 999429
10000.000000 -298510 -298849 2511906 1009871
10250.000000 -298555 -298837 2514333 1017977
10500.000000 -298585 -298798 2522023 1029374
10750.000000 -298577 -298808 2530035 1041868
11000.000000 -298556 -298793 2535395 1046817
11250.000000 -298497 -298773 2532708 1050160
11500.000000 -298525 -298756 2535521 1051866
11750.000000 -298548 -298831 2532123 1050951
12000.000000 -298532 -298774 2535523 1045307
12250.000000 -298542 -298688 2537620 1046236
12500.000000 -298522 -298672 2531655 1050184
12750.000000 -298545 -298655 2528689 1054475
13000.000000 -298549 -298706 2526224 1055120
13250.000000 -298498 -298724 2524361 1051456
13500.000000 -298554 -298748 2520634 1042240
13750.000000 -298578 -298759 2515943 1033922
14000.000000 -298502 -298777 2516628 1023919
14250.000000 -298535 -298772 2517911 1019273
14500.000000 -298511 -298806 2509828 1017882
14750.000000 -298424 -298763 2499895 1017295
15000.000000 -298501 -298789 2498979 1006859
15250.000000 -298528 -298796 2500535 1007943
15500.000000 -298490 -298779 2505264 1000301
15750.000000 -298520 -298815 2510711 1001236
16000.000000 -298520 -298802 2508148 1007024
16250.000000 -298512 -298757 2512696 1008329
16500.000000 -298500 -298755 2517365 1013945
16750.000000 -298486 -298729 2512754 1005777
17000.000000 -298555 -298762 2495970 1001075
17250.000000 -298505 -298778 2493825 998057
17500.000000 -298485 -298767 2489163 983875
17750.000000 -298504 -298723 2491425 976460
18000.000000 -298500 -298743 2487459 959126
18250.000000 -298497 -298740 2483985 933640
18500.000000 -298530 -298856 2480577 912746
18750.000000 -298493 -298828 2468757 901426
19000.000000 -298465 -298827 2460034 879176
19250.000000 -298479 -298807 2456645 867048
19500.000000 -298431 -298807 2456285 848514
19750.000000 -298408 -298817 2455061 831704
20000.000000 -298509 -298834 2441530 819607
20250.000000 -298506 -298839 2432406 801783
20500.000000 -298520 -298810 2422298 781782
20750.000000 -298501 -298795 2413643 769720
21000.000000 -298489 -298892 2417872 762719
21250.000000 -298523 -298888 2427246 760217
21500.000000 -298591 -298849 2426585 757376
21750.000000 -298586 -298851 2417275 755366
22000.000000 -298426 -298819 2413530 757636
22250.000000 -298476 -298852 2418955 761083
22500.000000 -298461 -298899 2420854 766601
22750.000000 -298522 -298883 2423037 765723
23000.000000 -298534 -298847 2421665 761845
23250.000000 -298498 -298848 2423944 761105
23500.000000 -298477 -298844 2430103 764092
23750.000000 -298526 -298945 2429741 765830
24000.000000 -298499 -298910 2428761 767671
24250.000000 -298534 -298983 2433435 776520
24500.000000 -298515 -298864 2435540 787593
24750.000000 -298502 -298883 2435931 795782
25000.000000 -298459 -298909 2445312 810334
25250.000000 -298479 -298886 2445852 820698
25500.000000 -298487 -298896 2444979 813390
25750.000000 -298520 -298907 2440793 809073
26000.000000 -298525 -298883 2433982 809398
26250.000000 -298522 -298870 2427916 800397
26500.000000 -298572 -298805 2421778 794677
26750.000000 -298575 -298847 2425266 797155
27000.000000 -298613 -298850 2431011 804300
27250.000000 -298581 -298914 2441873 809502
27500.000000 -298557 -298889 2452552 822905
27750.000000 -298494 -298873 2453632 833955
28000.000000 -298599 -298938 2448811 849818
28250.000000 -298639 -298874 2450842 877192
28500.000000 -298633 -298795 2464319 900274
28750.000000 -298550 -298796 2474765 916583
29000.000000 -298510 -298862 2482127 936539
29250.000000 -298591 -298833 2486963 955379
29500.000000 -298572 -298835 2494354 977348
29750.000000 -298528 -298867 2508742 998241
30000.000000 -298558 -298833 2517228 1012786
30250.000000 -298508 -298881 2519864 1026935
30500.000000 -298522 -298850 2522241 1039913
30750.000000 -298518 -298816 2525349 1048991
31000.000000 -298591 -298812 2528369 1059619
31250.000000 -298580 -298828 2530707 1054195
31500.000000 -298555 -298811 2533028 1053963
31750.000000 -298527 -298782 2538283 1062673
32000.000000 -298583 -298800 2539808 1068918
32250.000000 -298545 -298774 2530521 1062911
32500.000000 -298545 -298834 2528787 1063730
32750.000000 -298613 -298909 2529034 1062034
33000.000000 -298551 -298871 2525832 1061741
33250.000000 -298555 -298835 2519374 1056815
33500.000000 -298574 -298774 2521692 1051336
33750.000000 -298542 -298796 2516885 1042924
34000.000000 -298605 -298812 2516948 1037406
34250.000000 -298540 -298821 2523609 1034491
34500.000000 -298495 -298828 2515844 1028153
34750.000000 -298511 -298755 2508575 1020414
35000.000000 -298537 -298791 2505841 1015119
35250.000000 -298518 -298829 2504369 1006708
35500.000000 -298461 -298749 2505645 992426
35750.000000 -298487 -298791 2503679 999903
36000.000000 -298512 -298806 2504135 1011473
36250.000000 -298538 -298805 2506961 1015765
36500.000000 -298494 -298855 2512112 1014034
36750.000000 -298469 -298762 2514722 1012777
37000.000000 -298528 -298811 2512393 1010221
37250.000000 -298497 -298830 2507394 996752
37500.000000 -298484 -298789 2493541 987769
37750.000000 -298490 -298812 2492318 967952
38000.000000 -298518 -298833 2490215 951264
38250.000000 -298505 -298843 2476932 932173
38500.000000 -298454 -298882 2474627 913498
38750.000000 -298513 -298885 2474302 899722
39000.000000 -298532 -298841 2464061 881543
39250.000000 -298545 -298848 2452596 863723
39500.000000 -298526 -298809 2451296 845579
39750.000000 -298538 -298884 2449530 833725
40000.000000 -298594 -298910 2435474 814801
40250.000000 -298504 -298886 2425034 796434
40500.000000 -298502 -298876 2421233 783706
40750.000000 -298531 -298841 2418429 771462
41000.000000 -298505 -298827 2418916 767069
41250.000000 -298536 -298912 2413954 763267
41500.000000 -298485 -298899 2409563 755027
41750.000000 -298483 -298874 2413034 748742
42000.000000 -298469 -298884 2419465 745653
42250.000000 -298467 -298843 2418427 759740
42500.000000 -298543 -298877 2410112 761578
42750.000000 -298505 -299005 2408289 757832
43000.000000 -298416 -298931 2413295 765248
